"","X1","X2","X3","Order_reshape"
"65688","454549","1628197","1512978","65688"
"65695","1584959","173666","2456136","65695"
"65696","893695","533691","1894575","65696"
"65703","1808140","915321","209707","65703"
"65705","144933","1023341","166527","65705"
"65718","512119","130463","1729012","65718"
"65724","36859","562519","137697","65724"
"65725","2189809","526495","2204186","65725"
"65739","800160","368149","267299","65739"
"65746","1995403","44108","1981026","65746"
"65748","1887416","1923417","1966619","65748"
"65749","1376206","87279","159353","65749"
"65750","36908","591323","2031404","65750"
"65751","29739","44067","1973808","65751"
"65754","116073","1923410","1937807","65754"
"65772","22580","166581","137776","65772"
"65773","72990","144980","108978","65773"
"65774","65785","36991","166578","65774"
"65775","44176","36979","123382","65775"
"65784","87380","80186","51388","65784"
"72740","281562","108744","324740","72740"
"72742","418341","101553","36756","72742"
"72748","231150","87162","72762","72748"
"72749","115948","209540","454341","72749"
"72751","245540","274343","79941","72751"
"72752","274358","641554","94349","72752"
"72753","490348","346352","216762","72753"
"72755","223948","439945","540750","72755"
"72758","144740","396742","382343","72758"
"72760","555156","641555","123161","72760"
"72850","929705","548154","987306","72850"
"72857","2002557","432881","555350","72857"
"72861","252865","1296942","1693013","72861"
"72862","324871","1656998","1412203","72862"
"72863","807361","432928","1275340","72863"
"72866","1282599","540886","29666","72866"
"72867","1765025","288950","346485","72867"
"72869","1383405","1368940","2592957","72869"
"72870","51273","1635393","648923","72870"
"72872","303341","605734","123273","72872"
"72884","288895","526521","1606609","72884"
"72885","317699","1944999","1541786","72885"
"72886","65693","2024187","231318","72886"
"72887","267291","749688","519275","72887"
"72888","1412175","814521","951306","72888"
"72896","1095312","1844147","1649781","72896"
"72902","2787361","922570","1340199","72902"
"72903","1052106","1592180","980097","72903"
"72916","2153751","627369","1210530","72916"
"72917","684920","771284","418502","72917"
"72918","627285","1210577","101665","72918"
"72939","2556952","2052993","483299","72939"
"72946","1224933","260103","1829813","72946"
"72947","296141","706527","166468","72947"
"72948","123351","2125019","216935","72948"
"72949","1851420","15353","260088","72949"
"72950","1973824","173751","1801025","72950"
"72954","1808224","1189001","1880216","72954"
"72974","87374","51371","51373","72974"
"72977","173777","22577","44182","72977"
"72984","15397","108981","22581","72984"
"72993","44191","51389","80190","72993"
"79940","605549","281548","555148","79940"
"79948","382354","173561","187951","79948"
"79949","411140","555148","281548","79949"
"79951","533548","130349","159150","79951"
"79952","94362","295955","231150","79952"
"79953","245563","79950","583949","79953"
"79955","403947","353546","29551","79955"
"79957","468749","454357","598351","79957"
"79959","619955","641555","252761","79959"
"79960","353553","288756","367956","79960"
"79961","382350","267152","245558","79961"
"80050","1397712","2535370","1793796","80050"
"80054","2441760","1685801","1685815","80054"
"80057","310520","641744","1037692","80057"
"80061","425683","1268200","1513002","80061"
"80062","1952195","2528162","2643346","80062"
"80063","1887395","1801020","2139344","80063"
"80068","22465","1793825","353738","80068"
"80070","1995393","634522","1282553","80070"
"80072","1822623","382487","1887413","80072"
"80073","1923415","483330","483341","80073"
"80081","173733","1584990","389742","80081"
"80082","1937782","2132135","1642606","80082"
"80083","29658","512148","1851379","80083"
"80084","1001765","1901812","1404993","80084"
"80085","1232166","684935","1318561","80085"
"80086","656136","1246586","2290564","80086"
"80087","2715371","1325709","346465","80087"
"80088","1959398","1484144","425683","80088"
"80091","2499358","504880","1325737","80091"
"80096","591292","1973744","620175","80096"
"80097","1865779","684881","1808200","80097"
"80103","2124995","2513759","627305","80103"
"80105","677718","94534","2283368","80105"
"80113","36936","116127","1656968","80113"
"80116","1174542","1138541","231298","80116"
"80123","440113","404072","591339","80123"
"80125","137739","267318","677685","80125"
"80128","281664","857683","2268973","80128"
"80130","1620991","533720","749728","80130"
"80145","15354","202470","65706","80145"
"80146","173671","1772221","425679","80146"
"80148","699320","224128","29665","80148"
"80149","605727","670519","1649774","80149"
"80150","1966604","1772207","224077","80150"
"80152","130462","2333768","166491","80152"
"80154","209749","188143","15358","80154"
"80176","65785","36991","166578","80176"
"80177","180977","58571","130575","80177"
"80183","51382","44177","101778","80183"
"80184","44185","180978","166578","80184"
"80192","36995","15392","36994","80192"
"87147","216741","79942","353540","87147"
"87150","519157","432757","670355","87150"
"87151","72754","259950","331945","87151"
"87152","583958","583956","598352","87152"
"87156","447152","468756","439954","87156"
"87157","94350","555151","461556","87157"
"87158","418348","245562","389548","87158"
"87159","187951","382354","173561","87159"
"87160","108757","598354","274349","87160"
"87161","22361","65555","267152","87161"
"87253","368089","202470","15354","87253"
"87254","1001768","1829797","2643357","87254"
"87257","1793788","1268140","1642597","87257"
"87261","296133","1080979","699329","87261"
"87262","1138550","908129","2211335","87262"
"87263","260136","512134","281733","87263"
"87264","461693","461679","1779407","87264"
"87268","497731","1275382","584170","87268"
"87270","418477","368087","15339","87270"
"87272","224128","699320","29665","87272"
"87273","224128","29665","699320","87273"
"87282","1196102","728087","612886","87282"
"87284","490536","188091","1988189","87284"
"87287","1268131","1325796","1008890","87287"
"87288","1376199","1203376","1080978","87288"
"87296","512076","15250","202515","87296"
"87305","2499363","605689","123341","87305"
"87315","94510","1916187","519268","87315"
"87320","1368917","173683","1397785","87320"
"87321","51314","1383403","850530","87321"
"87323","245664","2204210","130493","87323"
"87325","252912","166522","2484964","87325"
"87328","929684","663338","1959372","87328"
